[7/9/22 04:02PM] Sugary used command ::skulled | Player rights = DEVELOPER	
[7/9/22 04:03PM] Sugary used command ::skulled | Player rights = DEVELOPER	
[7/9/22 04:03PM] Sugary used command ::skull | Player rights = DEVELOPER	
[7/9/22 04:20PM] Sugary used command ::teleto test2 | Player rights = DEVELOPER	
[7/9/22 04:21PM] Sugary used command ::prestigeicon 0 | Player rights = DEVELOPER	
[7/9/22 04:22PM] Sugary used command ::prestigeicon 1 | Player rights = DEVELOPER	
[7/9/22 04:22PM] Sugary used command ::prestigeicon 2 | Player rights = DEVELOPER	
[7/9/22 04:22PM] Sugary used command ::prestigeicon 3 | Player rights = DEVELOPER	
[7/10/22 02:10AM] Sugary used command ::item 11137 | Player rights = DEVELOPER	
[7/10/22 02:10AM] Sugary used command ::item 11137 5 | Player rights = DEVELOPER	
[7/10/22 02:25AM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/10/22 02:25AM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/10/22 02:57AM] Sugary used command ::item 11137 5 | Player rights = DEVELOPER	
[7/10/22 03:01AM] Sugary used command ::item 11137 5 | Player rights = DEVELOPER	
[7/10/22 03:04AM] Sugary used command ::item 13117 | Player rights = DEVELOPER	
[7/10/22 03:04AM] Sugary used command ::item 11137 | Player rights = DEVELOPER	
[7/10/22 02:56PM] Sugary used command ::collectonlog | Player rights = DEVELOPER	
[7/10/22 02:56PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 02:56PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:00PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:11PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:13PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:13PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:20PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:24PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:28PM] Sugary used command ::int 31000 | Player rights = DEVELOPER	
[7/10/22 03:33PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:33PM] Sugary used command ::int 111500 | Player rights = DEVELOPER	
[7/10/22 03:34PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:44PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:45PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:45PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:46PM] Sugary used command ::int 31000 | Player rights = DEVELOPER	
[7/10/22 03:54PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:54PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:54PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 03:56PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/10/22 03:56PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/10/22 04:13PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:14PM] Sugary used command ::barrowslog | Player rights = DEVELOPER	
[7/10/22 04:20PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:24PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:28PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:30PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:30PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:31PM] Sugary used command ::barrowslog | Player rights = DEVELOPER	
[7/10/22 04:33PM] Sugary used command ::tedstlog | Player rights = DEVELOPER	
[7/10/22 04:33PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:34PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:35PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:42PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:46PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:48PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:49PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:49PM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/10/22 04:50PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/10/22 04:52PM] Sugary used command ::testlog | Player rights = DEVELOPER	
[7/11/22 03:21PM] Sugary used command ::spass 10 | Player rights = DEVELOPER	
[7/11/22 03:22PM] Sugary used command ::addspassxp 10 | Player rights = DEVELOPER	
[7/11/22 03:22PM] Sugary used command ::addspassxp 22 | Player rights = DEVELOPER	
[7/11/22 03:26PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/11/22 03:26PM] Sugary used command ::addspassxp 22 | Player rights = DEVELOPER	
[7/11/22 03:26PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/11/22 03:34PM] Sugary used command ::addspassxp 51 | Player rights = DEVELOPER	
[7/11/22 03:34PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/11/22 03:51PM] Sugary used command ::addspassxp 9 | Player rights = DEVELOPER	
[7/11/22 03:51PM] Sugary used command ::addspassxp 5 | Player rights = DEVELOPER	
[7/11/22 03:51PM] Sugary used command ::addspassxp 7 | Player rights = DEVELOPER	
[7/11/22 03:51PM] Sugary used command ::addspassxp 11 | Player rights = DEVELOPER	
[7/11/22 03:52PM] Sugary used command ::bank | Player rights = DEVELOPER	
[7/11/22 04:08PM] Sugary used command ::item 23275 | Player rights = DEVELOPER	
[7/11/22 04:08PM] Sugary used command ::addspassxp 1 | Player rights = DEVELOPER	
[7/11/22 04:08PM] Sugary used command ::bank | Player rights = DEVELOPER	
[7/11/22 04:10PM] Sugary used command ::addspassxp 5 | Player rights = DEVELOPER	
[7/11/22 04:14PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/11/22 04:25PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/12/22 04:08PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 04:11PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/12/22 04:28PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/12/22 04:28PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 04:45PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 04:45PM] Sugary used command ::item 4151 2 | Player rights = DEVELOPER	
[7/12/22 05:08PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:09PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:17PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:32PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:35PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:37PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:38PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:40PM] Sugary used command ::moveint 61000 16 5 5 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::moveint 61000 16 220 80 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::movent 61000 16 280 90 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::moveint 61000 16 280 100 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::moveint 61000 16 330 90 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::moveint 61000 16 350 90 | Player rights = DEVELOPER	
[7/12/22 05:41PM] Sugary used command ::moveint 61000 16 380 90 | Player rights = DEVELOPER	
[7/12/22 05:51PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 05:59PM] Sugary used command ::collection | Player rights = DEVELOPER	
[7/12/22 06:00PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 06:01PM] Sugary used command ::moveint 61000 23 5 5 | Player rights = DEVELOPER	
[7/12/22 06:01PM] Sugary used command ::moveint 61000 22 5 5 | Player rights = DEVELOPER	
[7/12/22 06:03PM] Sugary used command ::collection | Player rights = DEVELOPER	
[7/12/22 06:03PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 06:33PM] Sugary used command ::setlevel 0 50000 | Player rights = DEVELOPER	
[7/12/22 06:33PM] Sugary used command ::setlevel 2 999999 | Player rights = DEVELOPER	
[7/12/22 06:33PM] Sugary used command ::setlevel 3 55555 | Player rights = DEVELOPER	
[7/12/22 06:36PM] Sugary used command ::drop1 | Player rights = DEVELOPER	
[7/12/22 06:36PM] Sugary used command ::dropi | Player rights = DEVELOPER	
[7/12/22 06:38PM] Sugary used command ::item 7158 | Player rights = DEVELOPER	
[7/12/22 06:38PM] Sugary used command ::item 11995 | Player rights = DEVELOPER	
[7/12/22 06:39PM] Sugary used command ::item 15261 | Player rights = DEVELOPER	
[7/12/22 07:03PM] Sugary used command ::dropi | Player rights = DEVELOPER	
[7/12/22 07:03PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 07:06PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 07:10PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/12/22 07:11PM] Sugary used command ::data | Player rights = DEVELOPER	
[7/12/22 07:11PM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/12/22 07:11PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/12/22 07:11PM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/12/22 07:11PM] Sugary used command ::data | Player rights = DEVELOPER	
[7/12/22 07:16PM] Sugary used command ::int 61000 | Player rights = DEVELOPER	
[7/12/22 07:25PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 07:28PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 07:28PM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/12/22 07:28PM] Sugary used command ::debug | Player rights = DEVELOPER	
[7/12/22 08:01PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/12/22 08:03PM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 01:26AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 02:31AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 02:35AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 02:45AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 02:52AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 02:53AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:00AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:03AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:14AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:15AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:17AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:18AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:24AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:24AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:27AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:28AM] Sugary used command ::collectionlog | Player rights = DEVELOPER	
[7/13/22 03:30AM] Sugary used command ::debug | Player rights = DEVELOPER	
